17
48
0
BTre	BHoa	BMe	CaoL	DLat	LgAn	NhTr	PhRa	PhTh	SDec	TNi	TDM	TGig	SGon	TrVi	ViLo	VTau
0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	17	1000	57	1000	1000
1000	0	1000	1000	1000	1000	1000	1000	93	1000	1000	1000	1000	29	1000	1000	93
1000	1000	0	1000	176	1000	184	1000	1000	1000	1000	330	1000	1000	1000	1000	1000
1000	1000	1000	0	1000	1000	1000	1000	1000	34	1000	1000	1000	1000	1000	49	1000
1000	1000	176	1000	0	1000	136	107	1000	1000	1000	1000	1000	291	1000	1000	1000
1000	1000	1000	1000	1000	0	1000	1000	1000	1000	1000	1000	25	47	1000	1000	1000
1000	1000	184	1000	136	1000	0	98	1000	1000	1000	1000	1000	1000	1000	1000	1000
1000	1000	1000	1000	107	1000	98	0	148	1000	1000	1000	1000	1000	1000	1000	1000
1000	162	1000	1000	1000	1000	1000	148	0	1000	1000	1000	1000	1000	1000	1000	1000
1000	1000	1000	34	1000	1000	1000	1000	1000	0	1000	1000	1000	1000	1000	25	1000
1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	97	1000	1000	1000
1000	1000	330	1000	1000	1000	1000	1000	1000	1000	1000	0	1000	29	1000	1000	1000
17	1000	1000	1000	1000	25	1000	1000	1000	1000	1000	1000	0	71	1000	72	1000
1000	29	1000	1000	291	47	1000	1000	1000	1000	97	29	71	0	1000	1000	111
57	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	65	1000
1000	1000	1000	49	1000	1000	1000	1000	1000	25	1000	1000	72	1000	65	0	1000
1000	93	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	111	1000	1000	0
